id,lang_tgt,severity,mqm_score,num_template_qs,num_srl_qs,num_diff_qs,num_atomic_qs,num_questions,num_mismatches,askqe_score
doc70_row4672_row255,fr,Minor,99,4,5,0,5,14,1,0.9206349206349206
doc43_row293_row256,fr,Minor,98,11,2,0,6,19,1,0.9512195121951219
doc60_row2420_row257,fr,No Error,100,0,2,1,3,6,2,0.6956521739130435
doc60_row272_row258,fr,No Error,100,2,1,4,3,10,6,0.43333333333333335
doc59_row2038_row259,fr,Minor,99,4,1,0,3,8,0,1.0
doc43_row786_row260,fr,Minor,99,4,3,0,5,12,0,1.0
doc43_row1209_row261,fr,Major,95,3,1,4,2,10,5,0.5666666666666667
doc70_row4606_row262,fr,Major,91,20,2,3,10,35,5,0.875
doc59_row2184_row263,fr,No Error,100,2,1,0,2,5,1,0.7777777777777778
doc68_row2064_row264,fr,Minor,97,2,1,2,2,7,2,0.8181818181818182
doc70_row2207_row265,fr,Minor,99,7,3,2,5,17,6,0.6229508196721312
doc60_row291_row266,fr,Major,95,6,3,4,1,14,4,0.7894736842105263
doc70_row4471_row267,fr,No Error,100,2,1,3,1,7,4,0.6
doc9_row2497_row268,fr,Minor,96,0,1,0,3,4,0,1.0
doc99_row2374_row269,fr,No Error,100,3,1,1,5,10,4,0.6388888888888888
doc43_row250_row270,fr,No Error,100,1,1,1,2,5,3,0.4117647058823529
doc99_row2237_row271,fr,Major,95,1,1,0,2,4,0,1.0
doc60_row4485_row272,fr,No Error,100,2,1,4,3,10,6,0.43333333333333335
doc70_row4542_row273,fr,No Error,100,0,1,1,4,6,1,0.9090909090909091
doc43_row1211_row274,fr,No Error,100,4,2,0,3,9,0,1.0
doc60_row285_row275,fr,No Error,100,2,1,4,6,13,5,0.7446808510638298
doc68_row2129_row276,fr,Minor,97,0,1,2,7,10,2,0.8888888888888888
doc60_row201_row277,fr,Major,94,0,3,3,3,9,3,0.8125
doc43_row2099_row278,fr,No Error,100,3,2,2,5,12,3,0.7777777777777778
doc59_row2386_row279,fr,No Error,100,2,1,1,2,6,2,0.75
doc9_row2291_row280,fr,Major,94,2,1,2,7,12,4,0.7142857142857143
doc99_row4712_row281,fr,No Error,100,3,1,4,6,14,6,0.6739130434782609
doc59_row4645_row282,fr,No Error,100,8,4,1,7,20,0,1.0
doc70_row2203_row283,fr,Major,95,4,5,4,5,18,7,0.576271186440678
doc99_row2300_row284,fr,Minor,99,1,0,0,3,4,0,1.0
doc60_row2010_row285,fr,Major,94,0,3,4,3,10,10,0.0
doc70_row209_row286,fr,No Error,100,0,2,4,8,14,7,0.5111111111111111
doc60_row2146_row287,fr,Minor,98,0,1,3,4,8,4,0.6153846153846154
doc60_row2485_row288,fr,Minor,99,2,1,0,6,9,0,1.0
doc60_row4618_row289,fr,No Error,100,2,1,1,5,9,1,0.9411764705882353
doc43_row286_row290,fr,Minor,99,11,2,0,6,19,1,0.9512195121951219
doc59_row2517_row291,fr,No Error,100,0,1,1,7,9,0,1.0
doc59_row4714_row292,fr,Minor,99,0,1,1,7,9,1,0.9411764705882353
doc59_row206_row293,fr,No Error,100,0,1,1,7,9,0,1.0
doc43_row224_row294,fr,No Error,100,1,2,4,5,12,5,0.7
doc68_row2474_row295,fr,No Error,100,1,2,3,5,11,3,0.7894736842105263
doc60_row2217_row296,fr,Minor,99,2,1,1,2,6,1,0.9130434782608695
doc59_row2385_row297,fr,No Error,100,4,1,0,4,9,0,1.0
doc43_row247_row298,fr,No Error,100,1,3,0,4,8,0,1.0
doc43_row1310_row299,fr,Major,95,4,2,2,3,11,1,0.8837209302325582
doc46_row336_row300,ru,No Error,100,3,1,3,2,9,3,0.8181818181818182
doc67_row320_row301,ru,No Error,100,3,1,1,3,8,1,0.9285714285714286
doc67_row331_row302,ru,No Error,100,4,3,4,10,21,6,0.782051282051282
doc94_row1864_row303,ru,No Error,100,2,3,4,7,16,4,0.8571428571428571
doc67_row1693_row304,ru,No Error,100,2,3,0,10,15,0,1.0
doc67_row4560_row305,ru,No Error,100,5,1,4,10,20,8,0.6575342465753424
doc46_row1935_row306,ru,No Error,100,5,2,4,2,13,4,0.84
doc94_row1930_row307,ru,No Error,100,2,1,2,2,7,2,0.8260869565217391
doc67_row307_row308,ru,Minor,99,2,3,4,10,19,6,0.7333333333333333
doc67_row379_row309,ru,Minor,99,4,3,4,10,21,6,0.782051282051282
doc51_row4481_row310,ru,No Error,100,8,2,1,5,16,1,0.971830985915493
doc46_row1933_row311,ru,Minor,97,4,3,0,10,17,1,0.9508196721311475
doc67_row4487_row312,ru,No Error,100,0,2,4,5,11,6,0.5675675675675675
doc67_row1830_row313,ru,No Error,100,0,1,2,3,6,3,0.6
doc80_row1795_row314,ru,Critical,75,3,2,3,7,15,6,0.6545454545454545
doc46_row1667_row315,ru,No Error,100,5,2,4,2,13,5,0.74
doc67_row1977_row316,ru,No Error,100,2,1,0,4,7,0,1.0
doc67_row1779_row317,ru,No Error,100,5,1,1,10,17,3,0.8253968253968254
doc51_row1821_row318,ru,Major,92,15,2,1,2,20,5,0.7738095238095238
doc67_row1776_row319,ru,No Error,100,1,2,1,2,6,1,0.9130434782608695
doc67_row4563_row320,ru,No Error,100,0,1,4,6,11,4,0.7777777777777778
doc51_row1609_row321,ru,Minor,98,11,1,2,7,21,2,0.9512195121951219
doc67_row1712_row322,ru,No Error,100,0,1,3,7,11,3,0.7894736842105263
doc37_row1581_row323,ru,No Error,100,4,1,0,4,9,0,1.0
doc80_row1656_row324,ru,Major,90,0,5,4,5,14,7,0.6078431372549019
doc67_row1782_row325,ru,No Error,100,0,1,0,6,7,1,0.8571428571428571
doc67_row332_row326,ru,No Error,100,0,1,4,7,12,4,0.8
doc67_row369_row327,ru,No Error,100,0,1,1,6,8,1,0.9333333333333333
doc94_row1587_row328,ru,No Error,100,3,3,4,4,14,3,0.8723404255319149
doc67_row4559_row329,ru,No Error,100,4,3,4,10,21,5,0.8333333333333334
doc80_row1727_row330,ru,Minor,99,3,2,2,7,14,3,0.7924528301886793
doc94_row4458_row331,ru,No Error,100,1,1,1,2,5,2,0.6666666666666666
doc94_row1660_row332,ru,No Error,100,2,3,4,7,16,4,0.8571428571428571
doc94_row4462_row333,ru,No Error,100,0,1,4,4,9,5,0.5714285714285714
doc46_row394_row334,ru,No Error,100,3,1,3,2,9,3,0.8181818181818182
doc67_row300_row335,ru,No Error,100,0,1,1,3,5,1,0.8888888888888888
doc67_row324_row336,ru,Major,95,0,1,3,6,10,3,0.7647058823529411
doc67_row4579_row337,ru,No Error,100,4,3,4,10,21,5,0.8333333333333334
doc67_row1828_row338,ru,No Error,100,1,2,1,2,6,1,0.9130434782608695
doc67_row4504_row339,ru,No Error,100,0,2,4,5,11,6,0.5675675675675675
doc94_row1803_row340,ru,No Error,100,0,1,3,4,8,4,0.5384615384615384
doc51_row1610_row341,ru,Minor,97,15,2,2,2,21,4,0.8777777777777778
doc46_row1591_row342,ru,Minor,98,4,3,1,10,18,2,0.873015873015873
doc67_row4562_row343,ru,No Error,100,2,3,0,10,15,2,0.8833333333333333
doc51_row4550_row344,ru,Minor,99,11,1,2,7,21,7,0.6829268292682927
doc46_row1736_row345,ru,No Error,100,5,2,4,2,13,4,0.84
doc37_row4519_row346,ru,No Error,100,1,1,4,4,10,5,0.5625
doc37_row4453_row347,ru,No Error,100,1,4,3,2,10,4,0.7428571428571429
doc80_row1793_row348,ru,Major,90,3,1,4,6,14,4,0.7647058823529411
doc51_row1953_row349,ru,Minor,97,15,2,4,2,23,7,0.7529411764705882
doc94_row325_row350,ru,No Error,100,3,3,2,4,12,2,0.9069767441860465
doc80_row4525_row351,ru,No Error,100,4,2,4,7,17,8,0.55
doc67_row4556_row352,ru,No Error,100,1,2,4,2,9,2,0.8620689655172413
doc67_row1635_row353,ru,No Error,100,1,2,1,2,6,1,0.9130434782608695
doc67_row1762_row354,ru,No Error,100,3,1,2,3,9,4,0.6666666666666666
doc67_row1640_row355,ru,No Error,100,2,1,2,4,9,3,0.7741935483870968
doc80_row1728_row356,ru,Major,90,4,2,4,7,17,9,0.5166666666666667
doc37_row1860_row357,ru,No Error,100,1,4,4,2,11,4,0.7837837837837838
doc67_row311_row358,ru,No Error,100,5,1,1,10,17,3,0.8253968253968254
